"DATE","TIME PERIOD","Net Circulation - number of banknotes/coins in circulation in Euro Area (BKN.M.U2.NC10.C.ALLD.AS.S.E)"
"2002-01-31","2002Jan","12265903"
"2002-02-28","2002Feb","11426854"
"2002-03-31","2002Mar","11234565"
"2002-04-30","2002Apr","10934428"
"2002-05-31","2002May","11059427"
"2002-06-30","2002Jun","11236662"
"2002-07-31","2002Jul","11409580"
"2002-08-31","2002Aug","11589406"
"2002-09-30","2002Sep","11723755"
"2002-10-31","2002Oct","11906637"
"2002-11-30","2002Nov","12029981"
"2002-12-31","2002Dec","12437183"
"2003-01-31","2003Jan","12394412"
"2003-02-28","2003Feb","12456001"
"2003-03-31","2003Mar","12504322"
"2003-04-30","2003Apr","12750802"
"2003-05-31","2003May","12937925"
"2003-06-30","2003Jun","13184076"
"2003-07-31","2003Jul","13409471"
"2003-08-31","2003Aug","13541739"
"2003-09-30","2003Sep","13641683"
"2003-10-31","2003Oct","13701995"
"2003-11-30","2003Nov","13773302"
"2003-12-31","2003Dec","14118783"
"2004-01-31","2004Jan","14002029"
"2004-02-29","2004Feb","14064614"
"2004-03-31","2004Mar","14132357"
"2004-04-30","2004Apr","14330132"
"2004-05-31","2004May","14548291"
"2004-06-30","2004Jun","14747702"
"2004-07-31","2004Jul","14895721"
"2004-08-31","2004Aug","14999443"
"2004-09-30","2004Sep","15053902"
"2004-10-31","2004Oct","15110922"
"2004-11-30","2004Nov","15194850"
"2004-12-31","2004Dec","15410485"
"2005-01-31","2005Jan","15344482"
"2005-02-28","2005Feb","15415483"
"2005-03-31","2005Mar","15549394"
"2005-04-30","2005Apr","15637094"
"2005-05-31","2005May","15838509"
"2005-06-30","2005Jun","16030956"
"2005-07-31","2005Jul","16183433"
"2005-08-31","2005Aug","16293188"
"2005-09-30","2005Sep","16365592"
"2005-10-31","2005Oct","16458621"
"2005-11-30","2005Nov","16534573"
"2005-12-31","2005Dec","16705784"
"2006-01-31","2006Jan","16594701"
"2006-02-28","2006Feb","16678202"
"2006-03-31","2006Mar","16730502"
"2006-04-30","2006Apr","16916688"
"2006-05-31","2006May","17053988"
"2006-06-30","2006Jun","17251403"
"2006-07-31","2006Jul","17410103"
"2006-08-31","2006Aug","17483453"
"2006-09-30","2006Sep","17571227"
"2006-10-31","2006Oct","17620314"
"2006-11-30","2006Nov","17674935"
"2006-12-31","2006Dec","17945130"
"2007-01-31","2007Jan","17894758"
"2007-02-28","2007Feb","17942906"
"2007-03-31","2007Mar","18067254"
"2007-04-30","2007Apr","18260793"
"2007-05-31","2007May","18468282"
"2007-06-30","2007Jun","18579734"
"2007-07-31","2007Jul","18738722"
"2007-08-31","2007Aug","18829327"
"2007-09-30","2007Sep","18911777"
"2007-10-31","2007Oct","18999521"
"2007-11-30","2007Nov","19039273"
"2007-12-31","2007Dec","19312674"
"2008-01-31","2008Jan","19270431"
"2008-02-29","2008Feb","19272627"
"2008-03-31","2008Mar","19383815"
"2008-04-30","2008Apr","19491088"
"2008-05-31","2008May","19650005"
"2008-06-30","2008Jun","19791046"
"2008-07-31","2008Jul","19943025"
"2008-08-31","2008Aug","20004053"
"2008-09-30","2008Sep","20061009"
"2008-10-31","2008Oct","20096127"
"2008-11-30","2008Nov","20130505"
"2008-12-31","2008Dec","20404093"
"2009-01-31","2009Jan","20368164"
"2009-02-28","2009Feb","20355760"
"2009-03-31","2009Mar","20357436"
"2009-04-30","2009Apr","20556930"
"2009-05-31","2009May","20695933"
"2009-06-30","2009Jun","20769950"
"2009-07-31","2009Jul","20891830"
"2009-08-31","2009Aug","20970278"
"2009-09-30","2009Sep","21022609"
"2009-10-31","2009Oct","21031940"
"2009-11-30","2009Nov","21034175"
"2009-12-31","2009Dec","21316239"
