Data Source in SDW: null
,BSI.M.U2.Y.V.M10.X.1.U2.2300.Z01.E
,"Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M1, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
,,obs. status
2021Nov,11155921,Provisional value (P)
2021Oct,11115828,Normal value (A)
2021Sep,11062170,Normal value (A)
2021Aug,10955069,Normal value (A)
2021Jul,10856280,Normal value (A)
2021Jun,10770212,Normal value (A)
2021May,10665484,Normal value (A)
2021Apr,10588875,Normal value (A)
2021Mar,10530446,Normal value (A)
2021Feb,10444090,Normal value (A)
2021Jan,10353065,Normal value (A)
2020Dec,10246971,Normal value (A)
2020Nov,10138557,Normal value (A)
2020Oct,10037680,Normal value (A)
2020Sep,9953136,Normal value (A)
2020Aug,9859121,Normal value (A)
2020Jul,9783987,Normal value (A)
2020Jun,9721262,Normal value (A)
2020May,9639523,Normal value (A)
2020Apr,9506644,Normal value (A)
2020Mar,9338957,Normal value (A)
2020Feb,9054928,Normal value (A)
2020Jan,8971151,Normal value (A)
2019Dec,8944251,Normal value (A)
2019Nov,8927616,Normal value (A)
2019Oct,8877169,Normal value (A)
2019Sep,8810676,Normal value (A)
2019Aug,8770618,Normal value (A)
2019Jul,8676593,Normal value (A)
2019Jun,8609490,Normal value (A)
2019May,8556128,Normal value (A)
2019Apr,8494997,Normal value (A)
2019Mar,8452097,Normal value (A)
2019Feb,8363442,Normal value (A)
2019Jan,8302100,Normal value (A)
2018Dec,8276841,Normal value (A)
2018Nov,8237177,Normal value (A)
2018Oct,8190259,Normal value (A)
2018Sep,8154104,Normal value (A)
2018Aug,8087634,Normal value (A)
2018Jul,8052268,Normal value (A)
2018Jun,8031093,Normal value (A)
2018May,7976875,Normal value (A)
2018Apr,7900546,Normal value (A)
2018Mar,7853621,Normal value (A)
2018Feb,7836170,Normal value (A)
2018Jan,7804379,Normal value (A)
2017Dec,7746494,Normal value (A)
2017Nov,7709515,Normal value (A)
2017Oct,7664355,Normal value (A)
2017Sep,7624095,Normal value (A)
2017Aug,7580063,Normal value (A)
2017Jul,7520932,Normal value (A)
2017Jun,7479548,Normal value (A)
2017May,7422404,Normal value (A)
2017Apr,7394330,Normal value (A)
2017Mar,7342569,Normal value (A)
2017Feb,7264541,Normal value (A)
2017Jan,7207480,Normal value (A)
2016Dec,7157978,Normal value (A)
2016Nov,7138255,Normal value (A)
2016Oct,7062050,Normal value (A)
2016Sep,7005214,Normal value (A)
2016Aug,6974781,Normal value (A)
2016Jul,6930542,Normal value (A)
2016Jun,6866453,Normal value (A)
2016May,6847448,Normal value (A)
2016Apr,6802710,Normal value (A)
2016Mar,6756687,Normal value (A)
2016Feb,6734255,Normal value (A)
2016Jan,6673173,Normal value (A)
2015Dec,6612287,Normal value (A)
2015Nov,6584292,Normal value (A)
2015Oct,6527268,Normal value (A)
2015Sep,6461244,Normal value (A)
2015Aug,6427203,Normal value (A)
2015Jul,6390934,Normal value (A)
2015Jun,6321413,Normal value (A)
2015May,6273942,Normal value (A)
2015Apr,6205149,Normal value (A)
2015Mar,6151527,Normal value (A)
2015Feb,6090604,Normal value (A)
2015Jan,6037055,Normal value (A)
2014Dec,5943100,Normal value (A)
2014Nov,5790344,Normal value (A)
2014Oct,5722425,Normal value (A)
2014Sep,5683460,Normal value (A)
2014Aug,5629461,Normal value (A)
2014Jul,5580067,Normal value (A)
2014Jun,5545944,Normal value (A)
2014May,5515907,Normal value (A)
2014Apr,5480667,Normal value (A)
2014Mar,5475459,Normal value (A)
2014Feb,5450537,Normal value (A)
2014Jan,5416098,Normal value (A)
2013Dec,5385738,Normal value (A)
2013Nov,5401297,Normal value (A)
2013Oct,5380251,Normal value (A)
2013Sep,5345390,Normal value (A)
2013Aug,5313847,Normal value (A)
2013Jul,5273794,Normal value (A)
2013Jun,5240539,Normal value (A)
2013May,5241646,Normal value (A)
2013Apr,5215157,Normal value (A)
2013Mar,5174624,Normal value (A)
2013Feb,5144480,Normal value (A)
2013Jan,5105241,Normal value (A)
2012Dec,5103080,Normal value (A)
2012Nov,5095354,Normal value (A)
2012Oct,5072922,Normal value (A)
2012Sep,5026487,Normal value (A)
2012Aug,5003502,Normal value (A)
2012Jul,4972043,Normal value (A)
2012Jun,4906862,Normal value (A)
2012May,4881556,Normal value (A)
2012Apr,4832253,Normal value (A)
2012Mar,4854993,Normal value (A)
2012Feb,4825584,Normal value (A)
2012Jan,4821280,Normal value (A)
2011Dec,4803131,Normal value (A)
2011Nov,4790688,Normal value (A)
2011Oct,4780195,Normal value (A)
2011Sep,4773001,Normal value (A)
2011Aug,4765502,Normal value (A)
2011Jul,4732920,Normal value (A)
2011Jun,4726155,Normal value (A)
2011May,4711455,Normal value (A)
2011Apr,4711726,Normal value (A)
2011Mar,4726569,Normal value (A)
2011Feb,4718930,Normal value (A)
2011Jan,4716243,Normal value (A)
2010Dec,4709671,Normal value (A)
2010Nov,4688229,Normal value (A)
2010Oct,4678918,Normal value (A)
2010Sep,4677423,Normal value (A)
2010Aug,4693688,Normal value (A)
2010Jul,4679493,Normal value (A)
2010Jun,4673988,Normal value (A)
2010May,4649690,Normal value (A)
2010Apr,4632330,Normal value (A)
2010Mar,4581539,Normal value (A)
2010Feb,4568875,Normal value (A)
2010Jan,4545691,Normal value (A)
2009Dec,4500583,Normal value (A)
2009Nov,4467104,Normal value (A)
2009Oct,4447243,Normal value (A)
2009Sep,4400921,Normal value (A)
2009Aug,4345910,Normal value (A)
2009Jul,4313987,Normal value (A)
2009Jun,4257796,Normal value (A)
2009May,4208606,Normal value (A)
2009Apr,4192471,Normal value (A)
2009Mar,4147995,Normal value (A)
2009Feb,4131197,Normal value (A)
2009Jan,4089796,Normal value (A)
2008Dec,3992437,Normal value (A)
2008Nov,3967950,Normal value (A)
2008Oct,3976765,Normal value (A)
2008Sep,3884699,Normal value (A)
2008Aug,3822771,Normal value (A)
2008Jul,3829976,Normal value (A)
2008Jun,3856976,Normal value (A)
2008May,3856561,Normal value (A)
2008Apr,3841073,Normal value (A)
2008Mar,3859582,Normal value (A)
2008Feb,3844697,Normal value (A)
2008Jan,3853436,Normal value (A)
2007Dec,3838947,Normal value (A)
2007Nov,3853234,Normal value (A)
2007Oct,3829351,Normal value (A)
2007Sep,3831836,Normal value (A)
2007Aug,3810185,Normal value (A)
2007Jul,3821559,Normal value (A)
2007Jun,3793036,Normal value (A)
2007May,3774604,Normal value (A)
2007Apr,3744732,Normal value (A)
2007Mar,3745961,Normal value (A)
2007Feb,3719224,Normal value (A)
