Data Source in SDW: null
,ILM.M.U2.C.LT00001.Z5.EUR
,"Euro area (changing composition), Eurosystem reporting sector - Base money [sum(L010000 and L020100 and L020200)], Euro - World not allocated (geographically) counterpart"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
,,obs. status,obs. comment
2023Feb,5812739,Estimated value (E),MP202208
2022Dec,6296159,Estimated value (E),MP202207
2022Nov,6385741,Estimated value (E),MP202206
2022Sep,6228459,Estimated value (E),MP202205
2022Jul,6225951,Estimated value (E),MP202204
2022Jun,6318961,Estimated value (E),MP202203
2022Apr,6218076,Estimated value (E),MP202202
2022Mar,6197300,Estimated value (E),MP202201
2022Feb,6087120,Estimated value (E),MP202108
2021Dec,6109717,Estimated value (E),MP202107
2021Nov,6052382,Estimated value (E),MP202106
2021Sep,5992760,Estimated value (E),MP202105
2021Jul,5875483,Estimated value (E),MP202104
2021Jun,5763945,Estimated value (E),MP202103
2021Apr,5545154,Estimated value (E),MP202102
2021Mar,5189144,Estimated value (E),MP202101
2021Jan,5045676,Estimated value (E),MP202008
2020Dec,4900044,Estimated value (E),MP202007
2020Nov,4646790,Estimated value (E),MP202006
2020Sep,4420093,Estimated value (E),MP202005
2020Jul,4067518,Estimated value (E),MP202004
2020Jun,3614386,Estimated value (E),MP202003
2020May,3413836,Estimated value (E),MP202002
2020Mar,3164097,Estimated value (E),MP202001
2020Jan,3160564,Estimated value (E),MP201908
2019Dec,3182895,Estimated value (E),MP201907
2019Oct,3097801,Estimated value (E),MP201906
2019Sep,3138333,Estimated value (E),MP201905
2019Jul,3147357,Estimated value (E),MP201904
2019Jun,3234726,Estimated value (E),MP201903
2019Apr,3214417,Estimated value (E),MP201902
2019Mar,3211686,Estimated value (E),MP201901
2019Jan,3190915,Estimated value (E),MP201808
2018Dec,3217721,Estimated value (E),MP201807
2018Oct,3195074,Estimated value (E),MP201806
2018Sep,3212047,Estimated value (E),MP201805
2018Jul,3142098,Estimated value (E),MP201804
2018Jun,3183799,Estimated value (E),MP201803
2018May,3122329,Estimated value (E),MP201802
2018Mar,3150081,Estimated value (E),MP201801
2018Jan,3122479,Estimated value (E),MP201708
2017Dec,3138794,Estimated value (E),MP201707
2017Oct,3044181,Estimated value (E),MP201706
2017Sep,2996701,Estimated value (E),MP201705
2017Jul,2900841,Estimated value (E),MP201704
2017Jun,2898485,Estimated value (E),MP201703
2017May,2749424,Estimated value (E),MP201702
2017Mar,2550937,Estimated value (E),MP201701
2017Jan,2472615,Estimated value (E),MP201608
2016Dec,2366303,Estimated value (E),MP201607
2016Oct,2259372,Estimated value (E),MP201606
2016Sep,2200150,Estimated value (E),MP201605
2016Jul,2067693,Estimated value (E),MP201604
2016Jun,2009398,Estimated value (E),MP201603
2016Apr,1901262,Estimated value (E),MP201602
2016Mar,1850448,Estimated value (E),MP201601
2016Jan,1826466,Estimated value (E),MP201508
2015Dec,1723357,Estimated value (E),MP201507
2015Oct,1670509,Estimated value (E),MP201506
2015Sep,1631786,Estimated value (E),MP201505
2015Jul,1527158,Estimated value (E),MP201504
2015Jun,1430509,Estimated value (E),MP201503
2015Apr,1346375,Estimated value (E),MP201502
2015Mar,1273080,Estimated value (E),MP201501
2015Jan,1292102,Estimated value (E),MP201412
2014Dec,1192512,Estimated value (E),MP201411
2014Nov,1192818,Estimated value (E),MP201410
2014Oct,1188228,Estimated value (E),MP201409
2014Sep,1207122,Estimated value (E),MP201408
2014Aug,1202497,Estimated value (E),MP201407
2014Jul,1196267,Estimated value (E),MP201406
2014Jun,1171555,Estimated value (E),MP201405
2014May,1168842,Estimated value (E),MP201404
2014Apr,1162843,Estimated value (E),MP201403
2014Mar,1162787,Estimated value (E),MP201402
2014Feb,1189952,Estimated value (E),MP201401
2014Jan,1256049,Estimated value (E),MP201312
2013Dec,1194434,Estimated value (E),MP201311
2013Nov,1217405,Estimated value (E),MP201310
2013Oct,1245577,Estimated value (E),MP201309
2013Sep,1274160,Estimated value (E),MP201308
2013Aug,1269797,Estimated value (E),MP201307
2013Jul,1287884,Estimated value (E),MP201306
2013Jun,1294876,Estimated value (E),MP201305
2013May,1333817,Estimated value (E),MP201304
2013Apr,1369052,Estimated value (E),MP201303
2013Mar,1428842,Estimated value (E),MP201302
2013Feb,1534126,Estimated value (E),MP201301
2013Jan,1630913,Estimated value (E),MP201212
2012Dec,1630969,Estimated value (E),MP201211
2012Nov,1675264,Estimated value (E),MP201210
2012Oct,1736211,Estimated value (E),MP201209
2012Sep,1766244,Estimated value (E),MP201208
2012Aug,1750966,Estimated value (E),MP201207
2012Jul,1774568,Estimated value (E),MP201206
2012Jun,1762300,Estimated value (E),MP201205
2012May,1754619,Estimated value (E),MP201204
2012Apr,1752124,Estimated value (E),MP201203
2012Mar,1598632,Estimated value (E),MP201202
2012Feb,1467124,Estimated value (E),MP201201
2012Jan,1495303,Estimated value (E),MP201112
2011Dec,1335315,Estimated value (E),MP201111
2011Nov,1274846,Estimated value (E),MP201110
2011Oct,1232234,Estimated value (E),MP201109
2011Sep,1184512,Estimated value (E),MP201108
2011Aug,1122369,Estimated value (E),MP201107
2011Jul,1086629,Estimated value (E),MP201106
